sub1_name,x1 (mole fraction),sub2_name,x2 (mole fraction),sub3_name,x3 (mole fraction),salt,x4 (mole fraction),x5 (mole fraction),temperature (K),ionic conductivity (mS/cm)
Fluoroethylene Carbonate,0.138927362,Ethyl Methyl Carbonate,0.566102476,Dimethyl Carbonate,0,LiTFSI,0.147485081,0.147485081,293.15,5.9
Propylene Carbonate,0.21359956,Diethyl Carbonate,0.36918304,Fluoroethylene Carbonate,0.411235346,LiTFSI,0.002991027,0.002991027,243.15,0.137
Propylene Carbonate,0.193641628,Diethyl Carbonate,0.334687979,Fluoroethylene Carbonate,0.372811077,LiTFSI,0.049429658,0.049429658,243.15,1.2
Propylene Carbonate,0.176170516,Diethyl Carbonate,0.304491109,Fluoroethylene Carbonate,0.33917459,LiTFSI,0.090081893,0.090081893,243.15,0.879
Propylene Carbonate,0.161775834,Diethyl Carbonate,0.279611504,Fluoroethylene Carbonate,0.31146104,LiTFSI,0.123575811,0.123575811,243.15,0.45
Propylene Carbonate,0.149326874,Diethyl Carbonate,0.258094864,Fluoroethylene Carbonate,0.287493517,LiTFSI,0.152542373,0.152542373,243.15,0.181
Propylene Carbonate,0.21359956,Diethyl Carbonate,0.36918304,Fluoroethylene Carbonate,0.411235346,LiTFSI,0.002991027,0.002991027,253.15,0.196
Propylene Carbonate,0.193641628,Diethyl Carbonate,0.334687979,Fluoroethylene Carbonate,0.372811077,LiTFSI,0.049429658,0.049429658,253.15,1.85
Propylene Carbonate,0.176170516,Diethyl Carbonate,0.304491109,Fluoroethylene Carbonate,0.33917459,LiTFSI,0.090081893,0.090081893,253.15,1.51
Propylene Carbonate,0.161775834,Diethyl Carbonate,0.279611504,Fluoroethylene Carbonate,0.31146104,LiTFSI,0.123575811,0.123575811,253.15,0.892
Propylene Carbonate,0.149326874,Diethyl Carbonate,0.258094864,Fluoroethylene Carbonate,0.287493517,LiTFSI,0.152542373,0.152542373,253.15,0.441
Propylene Carbonate,0.21359956,Diethyl Carbonate,0.36918304,Fluoroethylene Carbonate,0.411235346,LiTFSI,0.002991027,0.002991027,263.15,0.266
Propylene Carbonate,0.193641628,Diethyl Carbonate,0.334687979,Fluoroethylene Carbonate,0.372811077,LiTFSI,0.049429658,0.049429658,263.15,2.64
Propylene Carbonate,0.176170516,Diethyl Carbonate,0.304491109,Fluoroethylene Carbonate,0.33917459,LiTFSI,0.090081893,0.090081893,263.15,2.31
Propylene Carbonate,0.161775834,Diethyl Carbonate,0.279611504,Fluoroethylene Carbonate,0.31146104,LiTFSI,0.123575811,0.123575811,263.15,1.5
Propylene Carbonate,0.149326874,Diethyl Carbonate,0.258094864,Fluoroethylene Carbonate,0.287493517,LiTFSI,0.152542373,0.152542373,263.15,0.843
Propylene Carbonate,0.21359956,Diethyl Carbonate,0.36918304,Fluoroethylene Carbonate,0.411235346,LiTFSI,0.002991027,0.002991027,273.15,0.346
Propylene Carbonate,0.193641628,Diethyl Carbonate,0.334687979,Fluoroethylene Carbonate,0.372811077,LiTFSI,0.049429658,0.049429658,273.15,3.57
Propylene Carbonate,0.176170516,Diethyl Carbonate,0.304491109,Fluoroethylene Carbonate,0.33917459,LiTFSI,0.090081893,0.090081893,273.15,3.29
Propylene Carbonate,0.161775834,Diethyl Carbonate,0.279611504,Fluoroethylene Carbonate,0.31146104,LiTFSI,0.123575811,0.123575811,273.15,2.27
Propylene Carbonate,0.149326874,Diethyl Carbonate,0.258094864,Fluoroethylene Carbonate,0.287493517,LiTFSI,0.152542373,0.152542373,273.15,1.39
Propylene Carbonate,0.21359956,Diethyl Carbonate,0.36918304,Fluoroethylene Carbonate,0.411235346,LiTFSI,0.002991027,0.002991027,283.15,0.436
Propylene Carbonate,0.193641628,Diethyl Carbonate,0.334687979,Fluoroethylene Carbonate,0.372811077,LiTFSI,0.049429658,0.049429658,283.15,4.63
Propylene Carbonate,0.176170516,Diethyl Carbonate,0.304491109,Fluoroethylene Carbonate,0.33917459,LiTFSI,0.090081893,0.090081893,283.15,4.43
Propylene Carbonate,0.161775834,Diethyl Carbonate,0.279611504,Fluoroethylene Carbonate,0.31146104,LiTFSI,0.123575811,0.123575811,283.15,3.2
